PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
De'Anthony_Melton,MEM,23,57,37,20,22.7,9.8,3.5,9.2,38.5,1.6,4.6,33.7,1.2,1.6,72.8,1.0,3.6,4.6,2.7,1.4,1.6,0.5,1.7,24.4,1,0,4.0
Immanuel_Quickley,NYK,22,60,24,36,21.5,9.8,3.3,8.6,37.9,1.7,4.9,33.8,1.7,1.8,92.5,0.4,2.2,2.6,3.0,1.3,0.6,0.1,2.2,18.0,1,0,2.6
Marvin_Bagley_III,DET,22,35,13,22,21.9,9.8,4.1,8.6,47.5,0.5,2.0,22.9,1.1,1.7,67.8,2.3,4.7,7.0,0.6,0.7,0.3,0.3,1.7,20.4,4,0,-1.9
Nassir_Little,POR,22,42,19,23,25.9,9.8,3.5,7.5,46.0,1.2,3.7,33.1,1.6,2.2,73.4,1.4,4.2,5.6,1.3,1.0,0.6,0.9,2.0,21.8,3,0,-0.5
Cam_Thomas,BKN,20,54,22,32,19.4,9.7,3.7,8.6,43.5,0.8,3.0,27.4,1.4,1.6,83.1,0.2,2.3,2.6,1.4,0.9,0.5,0.1,1.0,15.9,0,0,-1.6
Darius_Bazley,OKC,21,59,18,41,27.5,9.7,3.6,8.9,40.2,1.0,3.6,28.6,1.5,2.2,69.5,1.1,5.4,6.5,1.4,1.3,0.9,1.1,0.9,24.3,5,0,-5.7
Caleb_Martin,MIA,26,50,32,18,23.1,9.6,3.7,7.1,52.1,1.0,2.7,39.1,1.2,1.6,75.6,1.3,2.7,4.0,1.1,0.8,1.0,0.5,1.7,19.7,1,0,2.4
Gabe_Vincent,MIA,25,56,38,18,24.7,9.6,3.5,8.0,43.1,1.9,5.1,38.0,0.8,0.9,80.8,0.4,1.6,2.0,3.4,1.5,1.0,0.2,2.5,19.1,0,0,2.2
Jae_Crowder,PHX,31,54,43,11,28.4,9.6,3.3,7.9,41.2,1.9,5.2,35.3,1.2,1.5,80.5,0.4,4.8,5.3,1.7,0.8,1.4,0.4,2.5,23.1,1,0,5.9
Bryn_Forbes,DEN,28,61,28,33,18.0,9.6,3.4,7.7,43.9,1.7,4.0,42.6,1.1,1.2,89.2,0.1,1.3,1.4,1.1,0.9,0.4,0.1,1.3,13.3,0,0,0.4
JaVale_McGee,PHX,34,58,46,12,15.7,9.4,4.0,6.3,64.0,0.0,0.1,28.6,1.3,1.9,68.8,2.2,4.5,6.7,0.6,1.3,0.3,1.1,2.4,21.2,8,0,2.1
Herbert_Jones,NOP,23,61,27,34,30.1,9.4,3.5,7.3,48.2,0.7,2.0,34.5,1.7,1.9,86.3,1.3,2.6,4.0,2.1,1.3,1.6,0.9,3.1,23.3,1,0,1.0
